,Corr,Corr Standard,Max Dropdown,Max Dropdown Standard,ROI,ROI Standard,Sharp Ratio,Sharp Ratio Standard,Volatility,Volatility Standard
0,0.892709998549087,-0.5951521444645668,5.93,7.88,0.62,2.67,0.030541783161814065,0.04139259892127401,20.31,64.58
1,0.7936207281290991,0.4715226086301291,12.07,18.62,3.18,14.21,0.08602845252448518,0.182746228377809,37.02,77.77
2,0.5910807890228693,-0.6008528517997747,14.58,23.12,16.53,-9.98,0.2540626150188762,-0.15622687819611208,65.06,63.9
3,0.7341164639734855,0.34907983388845165,14.58,18.62,3.26,16.7,0.07070289748644551,0.1901541806016566,46.11,87.81
4,0.9011481210900057,-0.3335544803496034,8.65,11.74,12.78,3.87,0.6801855475892066,0.043576022984370896,18.79,88.87
5,0.8178245739210265,0.5768889829996278,4.29,5.93,11.02,6.38,0.33284780228900396,0.09555349400958438,33.12,66.72
6,0.7781332986273976,-0.44207971263966445,10.63,13.63,15.39,-2.3,0.39014050851631055,-0.028577664155632287,39.45,80.46
7,-0.6178949249459313,-0.11088405849194159,22.67,15.83,-13.55,8.83,-0.21923322621358324,0.08940639386706394,61.82,98.77
8,0.9401543318005137,-0.9290648436178988,21.14,50.98,63.27,-38.66,5.449179695364833,-2.825138428381335,11.61,13.68
9,0.005551243051005937,0.8905205112233548,6.67,7.57,-0.27,16.29,-0.002743953195508381,0.7872604012387694,100.0,20.7
10,0.7675209630321149,0.08538146718347463,13.01,22.14,32.1,-7.01,0.7812727697825865,-0.07057396037231481,41.09,99.27
11,0.7057194521374387,-0.3866180379636675,6.49,19.87,13.63,-3.12,0.2714402562046083,-0.036662898305617336,50.2,85.05
12,0.9500513002846964,-0.9215622685007372,21.14,50.21,73.4,-41.87,7.536228381109394,-2.778086138574801,9.74,15.07
13,0.617270385513037,0.516119081479565,6.02,6.9,2.86,7.07,0.04623039832962665,0.09633138187100455,61.9,73.36
14,-0.03403715611896719,0.9063210428555942,26.39,22.68,-0.89,57.62,-0.008928123451160926,3.2267964070452546,99.88,17.86
15,0.5744610034222235,0.5217914686843331,11.25,14.96,12.26,5.25,0.18296925744903517,0.07210316069671882,67.0,72.77
16,0.832296439841796,0.46768785968659954,5.59,23.26,27.3,0.63,0.8882859318513929,0.008036479958810747,30.73,78.13
17,0.7566840514166219,0.9204117540943769,7.48,8.95,6.22,18.76,0.14561126951569178,1.227463361912023,42.74,15.28
18,0.5705193378225476,0.6373860688802291,5.23,7.07,3.03,6.04,0.04499067973426155,0.10170792107926017,67.45,59.37
19,0.5680799559628408,0.5470468756270174,5.88,8.61,7.27,2.83,0.10737199665860452,0.04033137792277473,67.73,70.07
20,0.031490777295153614,0.3490836396862104,8.01,11.53,3.28,7.26,0.03281445272472421,0.08272170378838162,99.9,87.81
21,0.5233540146371027,0.6067373333836904,7.25,10.67,3.53,10.39,0.048592562887263,0.16440874054954674,72.61,63.19
22,0.7673224263947764,0.5881576144798337,6.02,7.88,6.06,10.91,0.14736373031970348,0.16672641378364153,41.12,65.41
23,0.7883011912131022,0.5069360064784858,11.63,21.13,37.36,-1.6,0.9868285462691774,-0.021553164335576563,37.86,74.3
24,0.5930867429362492,0.8918756364235964,8.32,8.95,8.03,20.47,0.12382117597707762,1.0009042845276996,64.82,20.46
25,0.9468019730553515,-0.827704063054331,5.54,17.65,27.68,-14.66,2.6728671441683707,-0.46553838264703207,10.36,31.49
26,0.7935197387310923,0.7273779986925161,5.22,11.49,12.27,11.19,0.331334803276076,0.23753446724051916,37.03,47.09
27,0.4423664445227586,0.7121022808077226,6.44,10.12,5.67,3.74,0.07048276194905104,0.07586837778450181,80.43,49.29
28,0.8672387895522294,0.5453711112096561,23.34,27.07,42.15,-0.66,1.7004222273672196,-0.009364071872778967,24.79,70.26
29,0.714299274992352,0.3164645645904927,6.02,7.55,6.72,4.14,0.13720422894064102,0.04600034897875947,48.98,89.99
30,0.6252029764044453,-0.2958838180077311,14.58,18.62,11.84,-2.73,0.19445351095134047,-0.029870196866688577,60.91,91.25
31,0.7960275213239092,0.4942795086024146,11.63,24.79,43.88,0.19,1.1976592808739752,0.0025289673720806866,36.63,75.57
32,-0.3646118299822235,0.717805538149203,16.87,11.49,-9.01,25.99,-0.10397110064793447,0.536124445114539,86.71,48.48
